[2026-06-20T04:24:45.795Z] GET http://localhost:3000/ → 200 (22ms, 3126B)
[2026-06-20T04:24:45.819Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1781929485804 → 200 (2ms, 6708B)
[2026-06-20T04:24:45.819Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1781929485804 → 200 (4ms, 10534B)
[2026-06-20T04:24:45.819Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1781929485804 → 200 (98ms, 1344136B)
[2026-06-20T04:24:45.819Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (7ms, 31189B)
[2026-06-20T04:24:45.819Z] GET http://localhost:3000/_next/static/chunks/app/page.js → 200 (11ms, 72774B)
[2026-06-20T04:27:45.903Z] GET http://localhost:3100/ → 200 (21ms, ?B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/01d67e7cc17e7674-s.p.06wvjyunq6ydd.woff2 → 200 (6ms, 12008B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/051742360c26797e-s.p.0f97p8c3305p~.woff2 → 200 (10ms, 31340B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/5c285b27cdda1fe8-s.p.0yo6-5yoeeudq.woff2 → 200 (11ms, 36980B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/797e433ab948586e-s.p.08e28id.o-okb.woff2 → 200 (11ms, 23108B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/99e609270109b47d-s.p.16-z~2sp29ex6.woff2 → 200 (12ms, 10052B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/caa3a2e1cccd8315-s.p.09~u27dqhyhd6.woff2 → 200 (12ms, 29288B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/e9d5b069f63ab620-s.p.17tf8b5td.v-i.woff2 → 200 (13ms, 10112B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/effe91970fc4db64-s.p.07ig5l8azj~hy.woff2 → pending (?ms, ?B)
[2026-06-20T04:27:45.926Z] GET http://localhost:3100/_next/static/media/f06bf9da926bae75-s.p.0pz0x0eczp58u.woff2 → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/%5Broot-of-the-server%5D__0~8e5~8._.css → 200 (12ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_next_dist_115brz8._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/_0rqeker._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/turbopack-_0p44nws._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/_0h9eryp._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/node_modules_0aou6ch._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/app_layout_tsx_004glpo._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/_0avmw~_._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/components_0u_y21~._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.927Z] GET http://localhost:3100/_next/static/chunks/lib_03ayh2c._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.928Z] GET http://localhost:3100/_next/static/chunks/node_modules_next_0k25vkc._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.928Z] GET http://localhost:3100/_next/static/chunks/node_modules_recharts_es6_util_12swvz~._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.928Z] GET http://localhost:3100/_next/static/chunks/node_modules_recharts_es6_component_0ogcxsx._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.928Z] GET http://localhost:3100/_next/static/chunks/node_modules_recharts_es6_state_0b57gvo._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.928Z] GET http://localhost:3100/_next/static/chunks/node_modules_recharts_es6_cartesian_13_1it8._.js → pending (?ms, ?B)
[2026-06-20T04:27:45.928Z] GET http://localhost:3100/_next/static/chunks/node_modules_recharts_es6_0nu0r.5._.js → pending (?ms, ?B)
